soc,sector_id,coe_skill_level,title
17-3031,ecu,Middle Skill,Surveying and Mapping Technicians
19-2041,ecu,Above Middle Skill,"Environmental Scientists and Specialists, Including Health"
19-2042,ecu,Above Middle Skill,"Geoscientists, Except Hydrologists and Geographers"
19-4042,ecu,Middle Skill,"Environmental Science and Protection Technicians, Including Health"
19-4043,ecu,Middle Skill,"Geological Technicians, Except Hydrologic Technicians"
19-4044,ecu,Middle Skill,Hydrologic Technicians
19-4051,ecu,Middle Skill,Nuclear Technicians
37-3019,ecu,Below Middle Skill,"Grounds Maintenance Workers, All Other"
43-5041,ecu,Below Middle Skill,"Meter Readers, Utilities"
47-1011,ecu,Middle Skill,First-Line Supervisors of Construction Trades and Extraction Workers
47-2011,ecu,Middle Skill,Boilermakers
47-2021,ecu,Middle Skill,Brickmasons and Blockmasons
47-2022,ecu,Middle Skill,Stonemasons
47-2031,ecu,Middle Skill,Carpenters
47-2041,ecu,Below Middle Skill,Carpet Installers
47-2042,ecu,Below Middle Skill,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
47-2043,ecu,Below Middle Skill,Floor Sanders and Finishers
47-2044,ecu,Below Middle Skill,Tile and Stone Setters
47-2051,ecu,Below Middle Skill,Cement Masons and Concrete Finishers
47-2053,ecu,Middle Skill,Terrazzo Workers and Finishers
47-2061,ecu,Below Middle Skill,Construction Laborers
47-2071,ecu,Middle Skill,"Paving, Surfacing, and Tamping Equipment Operators"
47-2072,ecu,Middle Skill,Pile Driver Operators
47-2073,ecu,Middle Skill,Operating Engineers and Other Construction Equipment Operators
47-2081,ecu,Below Middle Skill,Drywall and Ceiling Tile Installers
47-2082,ecu,Below Middle Skill,Tapers
47-2111,ecu,Middle Skill,Electricians
47-2121,ecu,Middle Skill,Glaziers
47-2131,ecu,Below Middle Skill,"Insulation Workers, Floor, Ceiling, and Wall"
47-2132,ecu,Middle Skill,"Insulation Workers, Mechanical"
47-2141,ecu,Below Middle Skill,"Painters, Construction and Maintenance"
47-2142,ecu,Below Middle Skill,Paperhangers
47-2151,ecu,Below Middle Skill,Pipelayers
47-2152,ecu,Middle Skill,"Plumbers, Pipefitters, and Steamfitters"
47-2161,ecu,Below Middle Skill,Plasterers and Stucco Masons
47-2171,ecu,Middle Skill,Reinforcing Iron and Rebar Workers
47-2181,ecu,Below Middle Skill,Roofers
47-2211,ecu,Middle Skill,Sheet Metal Workers
47-2221,ecu,Middle Skill,Structural Iron and Steel Workers
47-2231,ecu,Middle Skill,Solar Photovoltaic Installers
47-3011,ecu,Below Middle Skill,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
47-3012,ecu,Below Middle Skill,Helpers--Carpenters
47-3013,ecu,Below Middle Skill,Helpers--Electricians
47-3014,ecu,Below Middle Skill,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
47-3015,ecu,Below Middle Skill,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
47-3016,ecu,Below Middle Skill,Helpers--Roofers
47-3019,ecu,Below Middle Skill,"Helpers, Construction Trades, All Other"
47-4011,ecu,Middle Skill,Construction and Building Inspectors
47-4021,ecu,Middle Skill,Elevator and Escalator Installers and Repairers
47-4031,ecu,Below Middle Skill,Fence Erectors
47-4051,ecu,Below Middle Skill,Highway Maintenance Workers
47-4061,ecu,Middle Skill,Rail-Track Laying and Maintenance Equipment Operators
47-4071,ecu,Below Middle Skill,Septic Tank Servicers and Sewer Pipe Cleaners
