Region,SOC,Occupation Title,Typical Entry Level Education,2025 Jobs,2025 - 2030 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
Bay,15-1231,Computer Network Support Specialists,Associate's degree,4050,0.068270983,320,50.9901256,106060
FN,15-1232,Computer User Support Specialists,"Some college, no degree",760,0.00022741,50,31.62420167,65780
SD/I,15-1232,Computer User Support Specialists,"Some college, no degree",6130,-0.034262275,370,35.50861235,73860
GS,15-1232,Computer User Support Specialists,"Some college, no degree",14340,-0.030632253,870,50.57019166,105190
LA,15-1232,Computer User Support Specialists,"Some college, no degree",15020,-0.039037244,900,36.10479029,75100
SCC,15-1232,Computer User Support Specialists,"Some college, no degree",2890,-0.032893878,180,36.55173118,76030
CVML,15-1232,Computer User Support Specialists,"Some college, no degree",3860,0.029662647,270,31.04146488,64570
IE/D,15-1232,Computer User Support Specialists,"Some college, no degree",3900,0.031064425,270,34.57509689,71920
Bay,15-1232,Computer User Support Specialists,"Some college, no degree",19770,0.031406215,1410,43.00769814,89460
OC,15-1232,Computer User Support Specialists,"Some college, no degree",6910,-0.030174354,420,35.66805562,74190
CA,15-1232,Computer User Support Specialists,"Some college, no degree",79880,0.007370332,5400,38.10819471,79270
OC,15-1241,Computer Network Architects,Bachelor's degree,1170,0.039429476,70,71.07844969,147840
CA,15-1241,Computer Network Architects,Bachelor's degree,15530,0.091918444,1070,76.07586343,158240
LA,15-1241,Computer Network Architects,Bachelor's degree,2460,0.022564228,130,70.36371769,146360
SCC,15-1241,Computer Network Architects,Bachelor's degree,470,0.036856232,30,63.01383341,131070
FN,15-1241,Computer Network Architects,Bachelor's degree,90,0.103438157,10,60.85140664,126570
SD/I,15-1241,Computer Network Architects,Bachelor's degree,1600,0.009937449,80,75.52927542,157100
GS,15-1241,Computer Network Architects,Bachelor's degree,620,0.068906123,40,67.64872153,140710
CVML,15-1241,Computer Network Architects,Bachelor's degree,470,0.124640682,40,56.45032156,117420
IE/D,15-1241,Computer Network Architects,Bachelor's degree,460,0.143008646,40,61.04707884,126980
Bay,15-1241,Computer Network Architects,Bachelor's degree,6630,0.08795751,450,84.96715132,176730
CA,15-1244,Network and Computer Systems Administrators,Bachelor's degree,28150,0.018385106,1570,51.02590759,106130
Bay,15-1244,Network and Computer Systems Administrators,Bachelor's degree,7660,0.03755526,450,61.42038512,127750
SCC,15-1244,Network and Computer Systems Administrators,Bachelor's degree,1260,-0.029849812,60,47.78118245,99380
FN,15-1244,Network and Computer Systems Administrators,Bachelor's degree,350,0.005920431,20,41.2560378,85810
LA,15-1244,Network and Computer Systems Administrators,Bachelor's degree,6320,-0.033416741,300,51.12295299,106340
SD/I,15-1244,Network and Computer Systems Administrators,Bachelor's degree,3080,-0.023041303,150,50.30661592,104640
GS,15-1244,Network and Computer Systems Administrators,Bachelor's degree,1540,0.017276913,80,50.15034196,104310
OC,15-1244,Network and Computer Systems Administrators,Bachelor's degree,2740,-0.022418017,130,50.41264811,104860
CVML,15-1244,Network and Computer Systems Administrators,Bachelor's degree,1680,0.034342161,90,45.94876172,95570
IE/D,15-1244,Network and Computer Systems Administrators,Bachelor's degree,1680,0.04086481,100,47.44718331,98690
Bay,15-1254,Web Developers,Bachelor's degree,3170,0.030929381,210,69.90449093,145400
OC,15-1254,Web Developers,Bachelor's degree,780,-0.016539815,40,47.25952356,98300
IE/D,15-1254,Web Developers,Bachelor's degree,380,0.066330682,30,31.29364555,65090
LA,15-1254,Web Developers,Bachelor's degree,2020,-0.014439413,110,49.09273209,102110
CVML,15-1254,Web Developers,Bachelor's degree,280,0.048134211,20,36.33408455,75570
GS,15-1254,Web Developers,Bachelor's degree,310,0.027139802,20,43.47313661,90420
CA,15-1254,Web Developers,Bachelor's degree,8680,0.028519589,570,53.30917024,110880
FN,15-1254,Web Developers,Bachelor's degree,50,-0.000582956,0,35.59224228,74030
SD/I,15-1254,Web Developers,Bachelor's degree,640,-0.023519434,40,44.79708497,93180
SCC,15-1254,Web Developers,Bachelor's degree,400,-0.036286699,20,40.43097694,84100
SCC,15-1255,Web and Digital Interface Designers,Bachelor's degree,950,-0.030683772,60,48.63571409,101160
FN,15-1255,Web and Digital Interface Designers,Bachelor's degree,450,0.004766114,30,42.01975452,87400
OC,15-1255,Web and Digital Interface Designers,Bachelor's degree,2450,-0.012953413,150,47.28884703,98360
IE/D,15-1255,Web and Digital Interface Designers,Bachelor's degree,960,0.045192816,70,44.43322588,92420
LA,15-1255,Web and Digital Interface Designers,Bachelor's degree,7070,-0.020319699,430,50.05270961,104110
Bay,15-1255,Web and Digital Interface Designers,Bachelor's degree,11650,0.017700807,790,84.09709868,174920
GS,15-1255,Web and Digital Interface Designers,Bachelor's degree,680,0.029084234,50,48.15548987,100160
CVML,15-1255,Web and Digital Interface Designers,Bachelor's degree,610,0.013852767,40,42.95568099,89350
CA,15-1255,Web and Digital Interface Designers,Bachelor's degree,28710,0.017914467,1950,62.57196202,130150
SD/I,15-1255,Web and Digital Interface Designers,Bachelor's degree,1510,-0.023708199,90,54.22510398,112790
LA,17-3011,Architectural and Civil Drafters,Associate's degree,2320,-0.013167295,190,36.26283672,75430
SCC,17-3011,Architectural and Civil Drafters,Associate's degree,630,0.0257559,60,34.98407421,72770
SD/I,17-3011,Architectural and Civil Drafters,Associate's degree,1170,0.039376077,110,37.37109124,77730
OC,17-3011,Architectural and Civil Drafters,Associate's degree,1500,0.017155092,130,37.15770771,77290
CA,17-3011,Architectural and Civil Drafters,Associate's degree,11550,0.020770276,1050,36.54608399,76020
FN,17-3011,Architectural and Civil Drafters,Associate's degree,200,0.078794344,20,30.65665288,63770
Bay,17-3011,Architectural and Civil Drafters,Associate's degree,2830,0.011704772,250,38.0726552,79190
CVML,17-3011,Architectural and Civil Drafters,Associate's degree,760,0.059897943,80,31.73636098,66010
GS,17-3011,Architectural and Civil Drafters,Associate's degree,910,0.008783289,80,36.61787478,76170
IE/D,17-3011,Architectural and Civil Drafters,Associate's degree,860,0.046037965,80,33.72721133,70150
SCC,17-3012,Electrical and Electronics Drafters,Associate's degree,160,-0.049239159,10,32.48688885,67570
FN,17-3012,Electrical and Electronics Drafters,Associate's degree,10,-0.093472496,0,31.66151186,65860
SD/I,17-3012,Electrical and Electronics Drafters,Associate's degree,340,0.00569849,30,35.38774187,73610
OC,17-3012,Electrical and Electronics Drafters,Associate's degree,360,-0.036141943,30,37.60469166,78220
CA,17-3012,Electrical and Electronics Drafters,Associate's degree,2960,-0.026374372,260,36.94010518,76840
Bay,17-3012,Electrical and Electronics Drafters,Associate's degree,880,-0.042474078,70,45.37387853,94380
GS,17-3012,Electrical and Electronics Drafters,Associate's degree,210,0.00718504,20,36.78732598,76520
CVML,17-3012,Electrical and Electronics Drafters,Associate's degree,150,0.028990806,10,33.82939671,70370
IE/D,17-3012,Electrical and Electronics Drafters,Associate's degree,210,-0.011481779,20,31.67396506,65880
LA,17-3012,Electrical and Electronics Drafters,Associate's degree,530,-0.068759552,40,35.94133535,74760
OC,17-3013,Mechanical Drafters,Associate's degree,560,-0.04902862,50,38.8826707,80880
FN,17-3013,Mechanical Drafters,Associate's degree,40,-0.0165748,0,31.10959898,64710
SD/I,17-3013,Mechanical Drafters,Associate's degree,400,-0.026546375,30,39.22602974,81590
GS,17-3013,Mechanical Drafters,Associate's degree,200,-0.00324187,20,36.60863429,76150
CVML,17-3013,Mechanical Drafters,Associate's degree,210,0.011113032,20,33.61557098,69920
IE/D,17-3013,Mechanical Drafters,Associate's degree,370,-0.027455541,30,35.62325868,74100
CA,17-3013,Mechanical Drafters,Associate's degree,3960,-0.03374292,340,38.75023973,80600
