,,,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
,,110800 - Japanese                                ,,286,275,53,286,280,282,71,288,
,,"120100 - Health Occupations, General             ",,117,72,234,263,136,109,232,273,
,,121000 - Respiratory Care/Therapy                ,,214,226,72,221,304,273,144,296,
,,122100 - Pharmacy Technology                     ,,84,102,,177,121,97,,120,
,,122500 - Radiologic Technology                   ,,225,197,146,261,246,220,162,278,
,,122700 - Diagnostic Medical Sonography           ,,44,55,,56,70,70,65,52,
,,122800 - Athletic Training and Sports Medicine   ,,304,60,231,176,475,64,21,265,
,,124010 - Dental Assistant                        ,,160,152,,144,184,184,,137,
,,124020 - Dental Hygienist                        ,,340,273,99,294,329,245,90,273,
,,125000 - Emergency Medical Services              ,,34,59,59,79,80,88,134,72,
,,125100 - Paramedic                               ,,87,54,58,104,102,64,,72,
,,"126000 - Health Professions, Transfer Core Curric",,242,136,99,238,359,189,96,228,
,,127000 - Kinesiology                             ,,293,399,209,470,306,345,395,453,
,,130500 - Child Development/Early Care and Educati,,622,555,233,683,669,729,233,679,
,,130580 - Child Development Administration and Man,,,37,,34,,24,,40,
,,150100 - English                                 ,,"1,291",924,531,"1,602","1,322",997,378,"1,528",
,,150300 - Comparative Literature                  ,,,75,,33,,60,,,
,,150600 - Speech Communication                    ,,799,795,338,874,823,805,337,936,
,,150700 - Creative Writing                        ,,18,15,,22,18,16,27,25,
,,150900 - Philosophy                              ,,212,259,190,251,236,244,143,250,
,,"160100 - Library Science, General                ",,40,,,20,43,,,36,
,,"170100 - Mathematics, General                    ",,"1,981","1,717",892,"2,298","2,223","1,777",982,"2,155",
,,170200 - Mathematics Skills                      ,,,,,,22,24,,21,
,,179900 - Other Mathematics                       ,,,,,10,2,,,2,
,,"190100 - Physical Sciences, General              ",,6,,,,,,,,
,,"190200 - Physics, General                        ",,461,479,30,380,437,448,19,453,2
,,"190500 - Chemistry, General                      ",,808,703,196,768,863,837,276,964,
,,191100 - Astronomy                               ,,118,77,,145,116,86,,119,
,,193000 - Earth Science                           ,,,,,,,46,,49,
,,"200100 - Psychology, General                     ",,967,940,445,904,"1,029",848,435,"1,007",
,,"220100 - Social Sciences, General                ",,300,324,266,287,357,332,265,178,
,,220110 - Women's Studies                         ,,57,35,38,44,38,49,51,48,
,,220200 - Anthropology                            ,,537,585,316,661,539,588,430,591,
,,220220 - Archaeology                             ,,38,31,,27,44,43,,61,
,,220300 - Ethnic Studies                          ,,276,278,122,510,553,580,207,579,
,,220400 - Economics                               ,,419,366,190,487,427,400,201,487,
,,220500 - History                                 ,,309,302,162,305,318,307,136,388,
,,220600 - Geography                               ,,238,222,167,263,263,234,153,286,
,,220610 - Geographic Information Systems          ,,119,92,,65,79,99,,79,
,,220700 - Political Science                       ,,216,284,81,315,254,272,150,337,
,,220800 - Sociology                               ,,365,500,242,469,348,470,226,473,
,,221000 - International Studies                   ,,30,48,,73,78,71,25,60,
,,493010 - Career Guidance and Orientation         ,,254,369,308,422,423,352,340,349,
,,"493030 - Learning Skills, Handicapped            ",,,39,,,,56,,8,
,,493072 - Leadership Skills Development           ,,54,56,,39,55,56,,45,
,,493084 - English as a Second Language - Writing  ,,35,31,,32,35,31,,36,
,,493200 - General Work Experience                 ,,69,95,81,92,72,99,101,24,
,Credit - Not Degree Applicable                     Total,,,388,306,177,450,421,268,252,645,
,,121000 - Respiratory Care/Therapy                ,,,20,,26,21,15,,19,
,,122100 - Pharmacy Technology                     ,,,,14,,,22,,,
,,122500 - Radiologic Technology                   ,,34,35,33,67,33,27,29,67,
,,125000 - Emergency Medical Services              ,,,,,,20,,17,,
,,126100 - Community Health Care Worker            ,,21,,,,23,,,28,
,,"170100 - Mathematics, General                    ",,,,67,,,,70,,
,,170200 - Mathematics Skills                      ,,63,15,,39,85,,,130,
,,493010 - Career Guidance and Orientation         ,,32,33,6,70,35,34,30,61,
,,"493030 - Learning Skills, Handicapped            ",,24,,25,24,24,,47,47,
,,"493031 - Living Skills, Handicapped              ",,96,115,25,96,84,108,47,184,
,,493084 - English as a Second Language - Writing  ,,100,67,7,89,70,52,12,72,
,,493085 - English as a Second Language - Reading  ,,18,20,,39,26,9,,37,
,,493086 - English as a Second Language - Listening,,,1,,,,1,,,
Mission Total,,,"15,416","1,678","15,042","5,240","16,328","1,670","15,214","5,464","16,164","1,515"
,Credit - Degree Applicable                         Total,,"15,087","1,678","14,735","5,179","15,937","1,670","14,941","5,355","15,745","1,515"
,,"040100 - Biology, General                        ",556,83,634,247,564,88,636,250,589,76
,,040300 - MicroBiology                            ,62,,58,64,85,,93,56,92,
,,040800 - Natural History                         ,,,,,30,,23,,32,
,,041000 - Anatomy and Physiology                  ,205,,202,55,202,,212,60,199,
,,"050100 - Business and Commerce, General          ",524,83,495,127,599,56,395,130,531,90
,,050200 - Accounting                              ,368,49,397,209,399,56,416,184,407,25
,,050500 - Business Administration                 ,,,15,,,,,,,
,,050600 - Business Management                     ,105,,63,,66,,33,,87,
,,050630 - Management Development and Supervision  ,17,,,,,,28,,,
,,050640 - Small Business and Entrepreneurship     ,,,49,,,,32,,58,
,,050800 - International Business and Trade        ,24,,24,,30,,19,,24,
,,050900 - Marketing and Distribution              ,29,20,,,29,,17,,17,
,,051000 - Logistics and Materials Transportation  ,,,10,,,,,,,
,,051400 - Office Technology/Office Computer Applic,135,66,151,85,155,72,110,81,148,
,,061220 - Film Production                         ,,,,,8,,,,6,
,,061420 - Electronic Game Design                  ,,,,14,,,,19,,
,,061430 - Website Design and Development          ,62,,66,29,91,,62,18,58,
,,061440 - Animation                               ,29,,,,20,,,,15,
,,"070100 - Information Technology, General         ",57,,60,,54,,23,,19,
,,070200 - Computer Information Systems            ,99,28,106,,97,26,70,22,65,24
,,070210 - Software Applications                   ,37,,46,34,49,,28,24,30,
,,070600 - Computer Science (Transfer)             ,47,,53,,52,,27,,29,
,,070700 - Computer Software Development           ,56,,73,54,68,,75,54,67,
,,070710 - Computer Programming                    ,318,29,343,259,335,30,296,242,328,27
,,070800 - Computer Infrastructure and Support     ,,,,,,,15,,,
,,070810 - Computer Networking                     ,194,28,195,78,199,32,176,79,171,20
,,070820 - Computer Support                        ,52,,50,,47,,20,,28,
,,083500 - Physical Education                      ,506,72,640,240,586,66,549,147,328,96
,,083510 - Physical Fitness and Body Movement      ,1,,9,1,2,,2,,2,
,,083520 - Fitness Trainer                         ,,,,,9,,16,,11,
,,083550 - Intercollegiate Athletics               ,19,10,24,25,20,14,27,5,34,4
,,083580 - Adapted Physical Education              ,,,4,,,,,,,
,,"090100 - Engineering, General (requires Calculus)",171,,145,,180,,180,,197,
,,093500 - Electro-Mechanical Technology           ,94,,104,13,118,,144,14,110,
,,094750 - Truck and Bus Driving                   ,12,,,,,,17,,,
,,"100100 - Fine Arts, General                      ",123,,82,,115,,115,,113,
,,100210 - Painting and Drawing                    ,250,25,205,62,167,23,204,91,221,18
,,100220 - Sculpture                               ,36,,33,,50,18,27,,33,19
,,100230 - Ceramics                                ,24,,28,22,45,,46,15,54,
,,100400 - Music                                   ,325,135,295,98,318,136,315,161,316,133
,,100500 - Commercial Music                        ,14,,16,,16,,18,,21,
,,100800 - Dance                                   ,135,,121,,120,,110,,109,
,,101200 - Applied Photography                     ,24,,42,34,17,,54,15,46,
,,101300 - Commercial Art                          ,,,13,,,,25,,,
,,103000 - Graphic Art and Design                  ,288,53,318,99,288,67,320,117,268,65
,,110500 - Spanish                                 ,220,,244,120,263,,153,92,189,
,,110700 - Chinese                                 ,28,,42,,36,,45,,46,
,,110800 - Japanese                                ,53,,28,,48,,44,,52,
,,111200 - Arabic                                  ,55,,60,20,61,,61,20,56,
,,111720 - Vietnamese                              ,,,46,,,,27,,,
,,"120100 - Health Occupations, General             ",154,41,136,68,181,44,176,53,187,51
,,123000 - Nursing                                 ,,,,,,,,,92,
,,123010 - Registered Nursing                      ,120,,112,58,112,,116,,23,
,,123020 - Licensed Vocational Nursing             ,542,,535,,540,,525,,513,
,,123030 - Certified Nurse Assistant               ,171,,139,147,185,,187,152,194,
,,127000 - Kinesiology                             ,86,,88,24,114,,98,27,117,
,,130500 - Child Development/Early Care and Educati,402,,404,59,459,,461,99,581,
,,130520 - Children with Special Needs             ,,,19,,,,,,22,
,,130580 - Child Development Administration and Man,21,,56,,58,,53,22,54,
,,130590 - Infants and Toddlers                    ,40,,37,,25,,26,,29,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",199,,201,54,191,,160,55,186,
