,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Canada Total,,,506,"1,526.28","9,079",542,"1,552.94","9,834",143,699.78,"3,336",578,"1,657.63","10,557",582,662.48,"10,547",127,597.51,"3,279",562,"1,867.62","11,838",609,"1,908.18","12,160",151,686.19,"3,753",606,"1,954.22","12,641",632,"1,954.81","12,716",150,761.28,"4,058",599,"1,981.60","12,636"
,,"190100 - Physical Sciences, General              ",,,,,,,1,2.56,14,,,,,,,1,4.57,25,,,,,,,1,3.47,19,,,,,,,1,7.31,40,,,
,,"190200 - Physics, General                        ",8,23.69,112,12,29.00,145,,,,11,32.83,171,11,7.10,150,,,,6,29.97,159,6,57.19,225,,,,6,47.39,205,6,63.40,248,,,,5,16.52,89
,,"190500 - Chemistry, General                      ",10,102.39,278,8,106.70,250,6,94.35,191,11,117.22,267,9,26.75,218,2,21.14,60,10,106.48,282,12,83.23,265,5,37.79,123,12,92.43,266,13,88.59,261,5,37.48,119,12,98.31,297
,,191100 - Astronomy                               ,8,11.90,68,7,15.99,103,2,14.33,74,7,19.36,117,7,3.90,99,2,11.58,60,5,21.21,118,5,19.16,105,2,11.98,62,6,19.65,112,5,18.69,100,2,10.90,57,4,15.44,87
,,191400 - Geology                                 ,,,,1,2.49,13,,,,1,2.29,12,1,0.43,8,,,,1,4.02,22,1,2.00,20,,,,1,1.46,16,2,2.90,29,,,,1,1.46,16
,,191900 - Oceangraphy                             ,4,16.82,91,6,29.57,174,3,12.08,79,4,13.14,82,6,7.50,170,3,14.90,106,4,16.85,105,6,29.60,168,2,10.24,56,4,16.98,111,5,29.75,163,2,16.28,89,3,21.12,111
,,"200100 - Psychology, General                     ",19,70.47,438,16,46.01,378,7,25.60,166,17,45.34,365,17,11.60,328,7,36.55,212,16,57.77,424,13,45.69,319,7,31.88,186,14,58.29,388,15,54.24,421,6,32.90,194,12,31.63,321
,,210400 - Human Services                          ,2,4.02,23,1,3.62,19,,,,1,4.00,21,2,0.58,8,,,,2,5.43,29,2,3.18,28,,,,1,5.53,29,2,1.84,16,,,,1,4.96,26
,,"220100 - Social Sciences, General                ",,,,,,,,,,,,,1,2.41,25,,,,,,,1,2.72,27,,,,,,,,,,,,,,,
,,220200 - Anthropology                            ,4,8.30,85,4,14.99,126,3,14.63,78,5,14.14,116,4,1.80,108,3,17.05,91,4,11.83,122,7,28.28,190,3,19.29,102,5,16.65,153,4,23.84,133,3,18.47,98,5,19.15,164
,,220220 - Archaeology                             ,1,0.58,6,,,,,,,1,0.97,10,,,,,,,1,1.45,15,,,,,,,1,1.74,18,,,,,,,1,5.20,26
,,220300 - Ethnic Studies                          ,1,1.86,10,1,1.40,14,,,,5,11.34,116,5,4.83,147,1,8.05,44,5,32.36,187,5,28.05,191,1,2.31,24,7,19.17,193,6,21.05,213,,,,8,40.50,266
,,220400 - Economics                               ,9,12.39,107,10,18.54,132,2,7.86,43,8,12.97,99,10,7.45,166,3,17.74,97,8,26.38,195,8,27.25,189,4,25.23,138,8,22.94,185,7,26.18,202,2,12.44,68,7,25.96,207
,,220500 - History                                 ,16,44.44,344,15,40.94,395,5,27.52,157,16,35.42,335,12,8.10,301,5,29.63,167,12,35.94,292,14,49.22,423,5,30.20,174,11,34.81,271,14,55.33,434,5,32.83,190,13,43.70,396
,,220600 - Geography                               ,1,1.74,18,1,1.74,18,,,,1,1.18,11,1,0.50,10,,,,1,1.82,17,1,1.50,14,,,,1,1.18,11,,,,,,,1,2.90,29
,,220700 - Political Science                       ,6,15.10,110,10,33.47,201,2,12.44,68,7,17.60,105,7,1.25,124,2,14.08,77,7,16.92,112,7,23.42,148,2,14.08,77,5,18.33,128,7,25.47,165,2,15.18,83,6,23.30,153
,,220800 - Sociology                               ,10,25.27,180,7,18.83,145,3,11.89,83,9,22.85,156,8,4.90,122,3,16.00,90,9,26.26,172,8,21.96,149,3,15.91,89,6,27.00,164,8,19.83,134,3,15.08,84,7,30.99,202
,,493010 - Career Guidance and Orientation         ,12,29.06,290,9,10.26,123,3,13.44,87,13,27.29,316,6,4.12,129,4,12.76,94,13,26.83,351,6,13.46,132,5,15.86,106,8,16.04,197,7,14.51,150,4,16.77,110,14,24.32,288
,,493013 - Academic Guidance                       ,1,0.25,2,1,0.79,6,1,0.67,5,1,1.19,9,1,0.23,15,,,,1,3.00,22,1,2.98,25,,,,1,3.13,23,1,0.95,8,,,,1,1.77,13
