Region,SOC,Description,Typical Entry Level Education,2024 Jobs,2024 - 2029 % Change,Average Annual Job Openings,Median Hourly Earnings,Median Annual Earnings
CA,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,2240,-0.115879666,210,21,43140
FN,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,10,-0.031371655,0,20,41430
SD/I,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,190,-0.124839206,20,20,42140
SCC,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,40,-0.020248613,0,18,38430
IE/D,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,260,-0.086373193,20,19,39880
CVML,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,180,-0.09247141,20,19,38610
OC,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,330,-0.118172083,30,21,43450
Bay,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,300,-0.114790473,30,24,50610
LA,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,710,-0.145852246,60,21,42710
GS,51-9022,"Grinding and Polishing Workers, Hand",No formal educational credential,110,-0.042433971,10,21,43010
CA,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,6940,0.024692743,740,23,47780
SCC,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,200,0.091356671,20,23,47670
SD/I,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,490,0.049194178,50,22,45590
LA,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,1680,-0.031294612,160,22,45210
FN,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,190,0.056339355,20,22,45230
GS,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,360,0.083544419,40,32,66090
IE/D,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,680,0.059712666,80,23,47610
Bay,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,1310,0.018591986,140,27,57110
OC,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,610,-0.00257658,60,22,46450
CVML,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",High school diploma or equivalent,1020,0.060819743,120,25,52240
CVML,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,60,-0.088475543,10,17,35150
FN,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,0,-0.136543947,0,16,33520
OC,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,150,-0.112102574,10,18,37550
CA,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,880,-0.135914835,90,18,36470
GS,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,20,-0.043182502,0,19,40460
Bay,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,50,-0.05579766,10,20,41970
SD/I,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,60,-0.009491989,10,18,36440
SCC,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,0,-0.650202728,0,16,34160
IE/D,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,40,-0.039769072,0,17,34690
LA,51-9031,"Cutters and Trimmers, Hand",No formal educational credential,460,-0.203939596,40,17,36110
IE/D,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,360,0.036503972,40,19,39650
CVML,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,730,0.009700469,80,20,42230
LA,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,1100,-0.08337136,110,20,41900
SCC,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,100,0.159192378,10,21,42810
SD/I,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,230,-0.008800414,20,21,44400
GS,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,130,0.072707984,20,21,44010
Bay,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,590,-0.016141102,60,23,47360
OC,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,520,-0.036023228,50,21,43560
FN,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,110,0.017899113,10,18,38250
CA,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",High school diploma or equivalent,4080,-0.020018385,440,21,43980
CVML,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,730,0.03879444,80,24,50890
LA,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,910,-0.052773862,90,22,44880
SD/I,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,290,0.002492345,30,20,42490
SCC,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,100,0.038096018,10,20,42290
IE/D,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,770,-0.022650907,70,22,45580
GS,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,230,0.077628545,30,22,45110
OC,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,500,-0.06234839,50,22,46770
CA,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,4430,-0.012059009,450,22,46590
FN,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,100,0.088407992,10,22,46760
Bay,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,600,-0.023103018,60,27,55870
SCC,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,10,0.284978548,0,23,48880
IE/D,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,60,0.028652143,10,22,45550
SD/I,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,60,0.022097526,10,21,44010
CA,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,1100,0.003545871,120,21,44100
OC,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,130,-0.019982229,10,19,40480
Bay,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,190,-0.012855399,20,26,53050
FN,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,60,0.003574017,10,24,50380
GS,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,60,0.105273937,10,24,50490
CVML,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,150,0.058836927,20,24,50160
LA,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,310,-0.04569207,30,19,39360
SCC,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,1190,0.067132331,150,25,51140
CA,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,62390,-0.006759889,7300,24,50340
OC,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,7710,-0.015073655,870,24,50680
SD/I,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,5990,-0.008403864,680,27,55780
Bay,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,14440,-0.005049028,1680,27,56770
GS,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,2260,0.042483923,290,25,50990
FN,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,630,0.020219289,80,24,50550
IE/D,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,5960,0.013186454,710,22,46200
CVML,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,5520,0.046776244,700,22,46100
LA,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,14680,-0.056846452,1630,23,48850
CA,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,5040,-0.038756678,620,25,52140
LA,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,1870,-0.053146583,220,26,54550
OC,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,570,-0.005679559,70,25,51990
SD/I,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,510,-0.052486892,60,30,61880
Bay,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,910,-0.041407775,110,27,56340
SCC,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,110,-0.088129555,10,22,46160
GS,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,160,-0.055511845,20,18,38270
FN,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,80,-0.085597029,10,20,41150
IE/D,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,360,-0.021128204,40,19,39970
CVML,51-9071,Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,310,0.008402213,40,24,49390
CA,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,4380,0.012160827,530,23,48310
LA,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,660,0.000655716,70,22,44720
OC,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,1500,0.065725218,190,24,49770
IE/D,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,300,-0.100145547,30,22,46090
SD/I,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,360,-0.055402745,40,23,47070
SCC,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,90,0.21691009,10,23,47590
Bay,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,650,-0.010536733,70,26,55070
GS,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,300,0.156680053,50,25,51790
CVML,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,220,-0.038981993,20,22,45130
FN,51-9081,Dental Laboratory Technicians,High school diploma or equivalent,70,-0.094114538,10,23,47480
GS,51-9082,Medical Appliance Technicians,High school diploma or equivalent,70,0.196537742,10,22,45030
CVML,51-9082,Medical Appliance Technicians,High school diploma or equivalent,170,-0.019603021,20,25,51730
CA,51-9082,Medical Appliance Technicians,High school diploma or equivalent,1570,0.029192217,190,23,47200
FN,51-9082,Medical Appliance Technicians,High school diploma or equivalent,0,0.006391543,0,20,42170
Bay,51-9082,Medical Appliance Technicians,High school diploma or equivalent,350,-0.008503844,40,24,50920
OC,51-9082,Medical Appliance Technicians,High school diploma or equivalent,280,0.104380851,40,23,47860
SCC,51-9082,Medical Appliance Technicians,High school diploma or equivalent,20,0.143088929,0,23,47340
SD/I,51-9082,Medical Appliance Technicians,High school diploma or equivalent,340,-0.018586669,40,21,44310
IE/D,51-9082,Medical Appliance Technicians,High school diploma or equivalent,80,-0.005827828,10,22,45760
LA,51-9082,Medical Appliance Technicians,High school diploma or equivalent,160,0.050871761,20,21,43440
OC,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,410,0.090362056,50,27,56840
CVML,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,120,0.038380377,10,18,37250
Bay,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,410,0.002496573,50,28,58410
FN,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,20,0.058574434,0,22,46720
IE/D,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,40,0.197482088,10,22,44940
SD/I,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,90,0.02484194,10,20,42580
LA,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,320,0.034670948,40,25,52810
SCC,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,100,0.018509094,10,24,50070
GS,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,50,0.176829945,10,21,44070
CA,51-9083,Ophthalmic Laboratory Technicians,High school diploma or equivalent,1660,0.04751165,210,23,48840
LA,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,10040,-0.012593185,1090,19,39860
FN,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,970,0.00960147,110,21,44560
SD/I,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,3250,0.047644948,400,19,40380
OC,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,4040,0.012846366,450,19,39790
CVML,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,9760,0.052426829,1200,21,44080
SCC,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,820,0.297635873,140,19,39810
CA,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,45530,0.032950242,5420,21,43640
Bay,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,8890,0.024018119,1050,22,46400
GS,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,1370,0.104058427,190,22,45420
IE/D,51-9111,Packaging and Filling Machine Operators and Tenders,High school diploma or equivalent,3830,0.076425637,490,20,41600
IE/D,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,100,0.033259817,10,19,39940
Bay,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,160,-0.010154004,20,23,47390
SD/I,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,60,0.000956253,10,18,37910
FN,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,10,-0.029240815,0,17,35110
OC,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,130,-0.015062613,10,22,45200
CVML,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,30,0.023739914,0,19,40420
SCC,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,60,0.05853294,10,22,45990
CA,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,990,-0.003970451,100,21,43450
GS,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,60,0.02167917,10,22,46000
LA,51-9123,"Painting, Coating, and Decorating Workers",No formal educational credential,330,-0.033776739,30,22,45520
GS,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,820,0.085438175,90,26,54800
OC,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,1310,0.017182151,130,24,50600
FN,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,230,0.042315096,20,24,49990
Bay,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,2550,0.049967595,270,28,59250
SD/I,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,880,0.01631604,90,26,55100
CVML,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,1240,0.072722097,140,23,48340
CA,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,12440,0.032991942,1260,25,50970
SCC,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,290,0.091435539,30,22,45830
LA,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,3000,-0.015793557,270,24,49020
IE/D,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,1510,0.047451201,160,22,46610
GS,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,10,0.183365317,0,22,45800
CA,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,2660,0.046352718,320,24,49160
SD/I,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,310,0.071915419,40,22,45930
FN,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,20,-0.017526114,0,30,61820
IE/D,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,50,0.010339872,10,22,45130
Bay,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,1520,0.031747068,180,24,49340
OC,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,320,0.074101236,40,23,48740
CVML,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,40,-0.052850643,0,23,47650
SCC,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,130,0.053532253,20,20,41790
LA,51-9141,Semiconductor Processing Technicians,High school diploma or equivalent,210,-0.002628109,20,19,39700
FN,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,0,-0.00475048,0,27,55140
SD/I,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,90,0.033986763,10,19,38590
GS,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,50,0.040230153,10,23,48770
IE/D,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,100,0.097087851,20,22,44770
Bay,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,270,-0.00592172,40,24,50300
OC,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,120,-0.014551689,20,22,45040
CA,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,1190,0.009036681,180,23,47090
CVML,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,30,0.021568124,0,22,46120
SCC,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,30,-0.077015812,0,29,59550
LA,51-9151,Photographic Process Workers and Processing Machine Operators,High school diploma or equivalent,380,-0.030999136,50,25,51620
SCC,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,510,0.029207172,50,27,55220
CVML,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,830,0.024655726,90,25,52510
IE/D,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,1730,-0.043271116,160,23,48300
LA,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,5640,-0.069858235,510,26,54500
OC,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,3330,-0.051111592,310,26,55110
CA,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,18740,-0.042289936,1760,27,55230
GS,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,520,0.035397088,50,24,50660
Bay,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,3220,-0.030609016,300,28,59180
SD/I,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,1580,-0.030504763,150,26,53870
FN,51-9161,Computer Numerically Controlled Tool Operators,High school diploma or equivalent,130,-0.003596856,10,24,50610
CVML,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,130,0.125839579,20,35,72850
SCC,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,60,0.189574084,10,36,74290
LA,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,760,0.02377232,80,38,78160
FN,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,20,-0.007095437,0,26,54700
IE/D,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,270,0.040358311,30,34,70620
OC,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,450,0.055483759,50,38,79180
GS,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,70,0.170961799,10,38,78340
SD/I,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,230,0.078595014,30,38,79770
CA,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,2710,0.060426062,300,38,78750
Bay,51-9162,Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,570,0.069974332,60,46,94890
FN,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,10,-0.107557617,0,17,36170
CA,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,1050,0.010117323,110,18,36770
LA,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,380,-0.026421675,40,17,35630
SCC,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,20,0.014698671,0,21,43780
Bay,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,110,0.092077766,10,24,50140
SD/I,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,30,0.042267668,0,16,33530
IE/D,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,90,-0.001808477,10,19,38910
OC,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,150,-0.028069554,10,18,36940
GS,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,40,0.094130302,0,18,36660
CVML,51-9191,Adhesive Bonding Machine Operators and Tenders,High school diploma or equivalent,140,0.036889047,20,23,48860
LA,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,490,-0.011559949,50,21,44280
OC,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,200,0.009895067,20,21,44630
SCC,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,40,0.199579295,10,19,39700
Bay,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,430,0.015035407,50,22,45050
SD/I,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,170,0.049038727,20,21,43090
IE/D,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,270,0.041123051,30,21,43260
CVML,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,770,0.031488326,90,21,42820
CA,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,2680,0.0228846,310,21,43560
FN,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,70,0.031266159,10,24,49630
GS,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,130,0.044691792,20,23,48820
LA,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,120,0.030837632,10,18,38470
GS,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,20,0.230230213,0,20,41560
CA,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,730,0.114019168,100,19,40510
CVML,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,230,0.108558205,30,21,43300
IE/D,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,90,0.164940288,10,21,44040
SD/I,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,30,0.182855307,0,19,39910
SCC,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,40,0.196946527,10,22,46570
Bay,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,130,0.128726192,20,24,49860
FN,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,20,0.066511543,0,24,49290
OC,51-9193,Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,40,0.108157732,0,18,38220
CA,51-9194,Etchers and Engravers,High school diploma or equivalent,950,-0.007046086,120,20,42270
IE/D,51-9194,Etchers and Engravers,High school diploma or equivalent,100,0.034836912,10,18,36910
CVML,51-9194,Etchers and Engravers,High school diploma or equivalent,60,0.082703291,10,17,36310
GS,51-9194,Etchers and Engravers,High school diploma or equivalent,40,0.041326913,10,23,47200
FN,51-9194,Etchers and Engravers,High school diploma or equivalent,50,0.081079359,10,22,45530
SD/I,51-9194,Etchers and Engravers,High school diploma or equivalent,60,0.018289152,10,22,45110
SCC,51-9194,Etchers and Engravers,High school diploma or equivalent,10,0.533184896,0,19,39210
Bay,51-9194,Etchers and Engravers,High school diploma or equivalent,220,-0.03780815,30,23,47520
OC,51-9194,Etchers and Engravers,High school diploma or equivalent,110,-0.030466746,10,19,40280
LA,51-9194,Etchers and Engravers,High school diploma or equivalent,260,-0.057259476,30,20,41570
Bay,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,970,-0.029438735,120,27,57050
OC,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,370,-0.037613561,50,23,48430
SCC,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,120,0.071388523,20,23,47290
FN,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,60,0.073323731,10,21,43030
GS,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,350,0.052518255,50,23,47920
IE/D,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,690,0.019558809,90,22,46360
CA,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,4670,-0.00021406,610,23,47520
SD/I,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,340,-0.021167919,40,22,45590
CVML,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,600,0.053858099,80,22,46340
LA,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",High school diploma or equivalent,990,-0.029565281,120,22,46640
GS,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,230,0.02602464,20,25,51130
LA,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,1420,-0.106072692,140,24,49390
IE/D,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,680,0.013147687,70,23,47840
Bay,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,640,-0.121517884,60,27,55730
FN,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,110,0.025275471,10,24,49420
SCC,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,30,0.317464281,0,26,55010
OC,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,490,-0.073382689,50,24,50890
SD/I,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,240,-0.07171638,20,25,52330
CA,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,5050,-0.051080507,530,24,50020
CVML,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",High school diploma or equivalent,1070,0.006054409,120,24,50350
IE/D,51-9197,Tire Builders,High school diploma or equivalent,20,0.50717687,0,17,35660
OC,51-9197,Tire Builders,High school diploma or equivalent,100,-0.121921651,10,21,44010
LA,51-9197,Tire Builders,High school diploma or equivalent,100,-0.060877607,10,20,41620
CVML,51-9197,Tire Builders,High school diploma or equivalent,40,0.269700416,10,21,42810
Bay,51-9197,Tire Builders,High school diploma or equivalent,60,0.050007452,10,24,49410
FN,51-9197,Tire Builders,High school diploma or equivalent,0,0,0,0,0
SCC,51-9197,Tire Builders,High school diploma or equivalent,0,-0.208783576,0,19,40300
