TOP Code - TOP Title,TOP CTE Flag,CIP Code - CIP Title,CIP CTE Flag,"Count of Colleges "
0509.20 - Purchasing,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0509.20 - Purchasing,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0509.20 - Purchasing,CTE,"52.0202 - Purchasing, Procurement/Acquisitions and Contracts Management",CTE,0
0509.20 - Purchasing,CTE,52.1802 - Merchandising and Buying Operations,CTE,0
0509.40 - Sales and Salesmanship,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0509.40 - Sales and Salesmanship,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0509.40 - Sales and Salesmanship,CTE,52.1804 - Selling Skills and Sales Operations,CTE,12
0509.60 - Display,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0509.60 - Display,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0509.60 - Display,CTE,"52.1899 - General Merchandising, Sales, and Related Marketing Operations, Other",Both,1
0509.70 - E-Commerce (Business emphasis),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0509.70 - E-Commerce (Business emphasis),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0509.70 - E-Commerce (Business emphasis),CTE,52.0208 - E-Commerce/Electronic Commerce,CTE,9
0509.70 - E-Commerce (Business emphasis),CTE,52.1404 - Digital Marketing,CTE,2
0510.00 - Logistics and Materials Transportation,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0510.00 - Logistics and Materials Transportation,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0510.00 - Logistics and Materials Transportation,CTE,"49.9999 - Transportation and Materials Moving, Other",Both,1
0510.00 - Logistics and Materials Transportation,CTE,"52.0203 - Logistics, Materials, and Supply Chain Management",CTE,23
0510.00 - Logistics and Materials Transportation,CTE,"52.0409 - Parts, Warehousing, and Inventory Management Operations",CTE,0
0511.00 - Real Estate,CTE,10.0105 - Communications Technology/Technician,CTE,1
0511.00 - Real Estate,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0511.00 - Real Estate,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0511.00 - Real Estate,CTE,52.1501 - Real Estate,CTE,56
0511.10 - Escrow,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0511.10 - Escrow,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0511.10 - Escrow,CTE,52.1501 - Real Estate,CTE,2
0512.00 - Insurance,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0512.00 - Insurance,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0512.00 - Insurance,CTE,52.0215 - Risk Management,Not CTE,1
0512.00 - Insurance,CTE,52.1701 - Insurance,CTE,3
0514.00 - Office Technology/Office Computer Applications,CTE,11.0103 - Information Technology,Not CTE,1
0514.00 - Office Technology/Office Computer Applications,CTE,"11.0601 - Data Entry/Microcomputer Applications, General",CTE,9
0514.00 - Office Technology/Office Computer Applications,CTE,"11.9999 - Computer and Information Sciences and Support Services, Other",Both,1
0514.00 - Office Technology/Office Computer Applications,CTE,22.0301 - Legal Administrative Assistant/Secretary,CTE,1
0514.00 - Office Technology/Office Computer Applications,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0514.00 - Office Technology/Office Computer Applications,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0514.00 - Office Technology/Office Computer Applications,CTE,"52.0101 - Business/Commerce, General",Both,1
0514.00 - Office Technology/Office Computer Applications,CTE,"52.0201 - Business Administration and Management, General",CTE,1
0514.00 - Office Technology/Office Computer Applications,CTE,52.0204 - Office Management and Supervision,CTE,1
0514.00 - Office Technology/Office Computer Applications,CTE,"52.0401 - Administrative Assistant and Secretarial Science, General",CTE,76
0514.00 - Office Technology/Office Computer Applications,CTE,52.0407 - Business/Office Automation/Technology/Data Entry,CTE,13
0514.00 - Office Technology/Office Computer Applications,CTE,52.0408 - General Office Occupations and Clerical Services,CTE,20
0514.00 - Office Technology/Office Computer Applications,CTE,"52.9999 - Business, Management, Marketing, and Related Support Services, Other",Both,1
0514.10 - Legal Office Technology,CTE,22.0301 - Legal Administrative Assistant/Secretary,CTE,10
0514.10 - Legal Office Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0514.10 - Legal Office Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
